"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Hanger Prosthetics & Orthotics West Inc","Hanger Prosthetics & Orthotics Inc.","20200506","grant","$2,911,408","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hanging Rock Ltc","Hanging Rock Ltc","20200506","grant","$625,667","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hannibal Clinic Operations","Hannibal Clinic Operations","20200506","grant","$1,153,805","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hannibal Regional Healthcare System Inc","Hannibal Regional Healthcare System Inc","20200506","grant","$3,324,439","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hansford County Hospital District","Hansford County Hospital District","20200506","grant","$612,137","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harbin Clinic Llc","Harbin Clinic Llc","20200506","grant","$4,170,918","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harbor Health Services Inc","Harbor Health Services Inc","20200506","grant","$1,264,664","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harbor Hospital","Harbor Hospital","20200506","grant","$3,570,849","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harbor Medical Associates Inc","Harbor Medical Associates Inc","20200506","grant","$1,138,413","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harborview Medical Center","Harborview Medical Center","20200506","grant","$19,178,082","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Washington","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hardin County General Hospital","Hardin County General Hospital","20200506","grant","$807,503","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hardin Memorial Hospital","Hardin Memorial Hospital","20200506","grant","$5,421,697","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hardin Memorial Hospital","Hardin Memorial Hospital","20200506","grant","$571,583","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hardin Professional Services","Hardin Professional Services","20200506","grant","$1,155,721","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harlem Center For Nursing And Rehabilitation Llc","Harlem Center For Nursing And Rehabilitation Llc","20200506","grant","$953,473","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harmony Healthcare","Harmony Healthcare","20200506","grant","$560,769","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harnett Health System Inc","Harnett Health System Inc","20200506","grant","$1,620,969","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harney District Hospital","Harney District Hospital","20200506","grant","$578,641","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Oregon","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harold Weiss Md&mark Haimann Md&joel Miller Md&susan Malinowski Md","Harold Weiss Md&mark Haimann Md&joel Miller Md&susan Malinowski Md","20200506","grant","$716,618","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harrington Memorial Hospital","Harrington Memorial Hospital","20200506","grant","$2,193,906","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harris County Hospital District","Harris County Hospital District","20200506","grant","$9,555,370","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harrisburg Medical Center Inc","Harrisburg Medical Center Inc","20200506","grant","$1,186,629","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harrison County Community Hospital District","Harrison County Community Hospital District","20200506","grant","$662,038","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harrison Medical Center","Harrison Medical Center","20200506","grant","$11,414,612","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Washington","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harrison Memorial Hospital","Harrison Memorial Hospital","20200506","grant","$689,936","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harrow Health, Inc.","Harrow Health, Inc.","20200427","loan","$0","$1,967,100","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1360214/000149315220007305/form8-k.htm",""," ","","","publicly traded","HROW","Tennessee","USA","pharmaceuticals","pharmaceuticals","133","0","0","","0","0","0","0","","$1,377,012","$0","0"
"Harry J. Lawall & Son","Harry J. Lawall & Son","20200506","grant","$528,996","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harshi Bains Md Pa","Harshi Bains Md Pa","20200506","grant","$632,326","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harte Hanks, Inc.","Harte Hanks","20200414","loan","$0","$10,000,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/45919/000143774920008460/hhs20200423_8k.htm",""," ","","","publicly traded","HHS","Texas","USA","business services","marketing services","2430","0","0","","0","0","0","0","","$498,947","$0","0"
"Hartford Health Services","Hartford Health Services","20200506","grant","$624,931","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hartford Hospital","Hartford HealthCare","20200508","grant","$37,899,728","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Connecticut","USA","healthcare services","hospitals","0","0","92970","","0","0","2967358","90000","","$0","$0","0"
"Hartwyck At Oak Tree","Hartwyck At Oak Tree","20200506","grant","$742,789","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Harvard Medical Faculty Phys At Beth Israel Deaconess Med Ctr Inc","Harvard Medical Faculty Phys At Beth Israel Deaconess Med Ctr Inc","20200506","grant","$4,529,676","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hattiesburg Clinic Pa","Hattiesburg Clinic Pa","20200506","grant","$9,977,500","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Mississippi","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hawaii Cancer Care Inc","Hawaii Cancer Care Inc","20200506","grant","$580,123","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Hawaii","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hawaiian Airlines","Hawaiian Holdings","20200417","loan","$0","$364,000,000","Treasury Department","Economic Relief Program","Hawaiian Holdings announced it would receive a $364 million loan under the Economic Relief Program. As part of the deal the company issued warrants to the Treasury Department allowing it to acquire a 6.7 percent interest in the company.","https://www.sec.gov/ix?doc=/Archives/edgar/data/1172222/000117222220000034/hhi-form8xkcaresactupd.htm",""," ","","","publicly traded","HA","Hawaii","USA","airlines","airlines","7437","0","0","","0","0","1347839","285000","45.9 to 1","$3,196,153","$69,565","0"
"Hawaiian Airlines","Hawaiian Holdings","20200414","grant","$233,000,000","$0","Treasury Department","Payroll Support Program","Hawaiian Holdings announced it would receive a total of $290 million in federal assistance under the Payroll Support Program, of which $57 million would be a loan, implying that the remaining $233 million would be a grant. The company issued warrants to Treasury allowing it to purchase a 1 percent interest in the company.","https://www.sec.gov/ix?doc=/Archives/edgar/data/1172222/000117222220000034/hhi-form8xkcaresactupd.htm",""," ","","","publicly traded","HA","Hawaii","USA","airlines","airlines","7437","0","0","","0","0","1347839","285000","45.9 to 1","$3,196,153","$69,565","0"
"Hawaiian Airlines","Hawaiian Holdings","20200414","loan","$0","$57,000,000","Treasury Department","Payroll Support Program","Hawaiian Holdings announced it would receive a total of $290 million in federal assistance under the Payroll Support Program, of which $57 million would be a loan, implying that the remaining $233 million would be a grant. The company issued warrants to Treasury allowing it to purchase a 1 percent interest in the company.","https://www.sec.gov/ix?doc=/Archives/edgar/data/1172222/000117222220000034/hhi-form8xkcaresactupd.htm",""," ","","","publicly traded","HA","Hawaii","USA","airlines","airlines","7437","0","0","","0","0","1347839","285000","45.9 to 1","$3,196,153","$69,565","0"
"Haym Salomon Home For The Aged","Haym Salomon Home For The Aged","20200506","grant","$1,335,529","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hays Medical Center Inc","Hays Medical Center Inc","20200506","grant","$4,980,016","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hazel Hawkins Memorial Hospital","Hazel Hawkins Memorial Hospital","20200506","grant","$1,307,340","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Aventura Hospital and Medical Center","HCA Healthcare","20200508","grant","$13,245,707","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","publicly traded","HCA","Tennessee","USA","healthcare services","hospitals","280000","0","50029","","81031870","44045842","16572","8600000","478 to 1","$26,788,251","$56,012","0"
"JFK Medical Center","HCA Healthcare","20200508","grant","$17,691,367","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","publicly traded","HCA","Tennessee","USA","healthcare services","hospitals","280000","0","50029","","81031870","44045842","16572","8600000","478 to 1","$26,788,251","$56,012","0"
"Regional Medical Center of San Jose","HCA Healthcare","20200508","grant","$18,130,222","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","publicly traded","HCA","Tennessee","USA","healthcare services","hospitals","280000","0","50029","","81031870","44045842","16572","8600000","478 to 1","$26,788,251","$56,012","0"
"The Medical Center of Aurora - Main Campus","HCA Healthcare","20200508","grant","$17,849,051","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","publicly traded","HCA","Tennessee","USA","healthcare services","hospitals","280000","0","50029","","81031870","44045842","16572","8600000","478 to 1","$26,788,251","$56,012","0"
"Tulane Medical Center","HCA Healthcare","20200508","grant","$26,431,711","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","publicly traded","HCA","Tennessee","USA","healthcare services","hospitals","280000","0","50029","","81031870","44045842","16572","8600000","478 to 1","$26,788,251","$56,012","0"
"Hcap Venture Group Llc","Hcap Venture Group Llc","20200506","grant","$629,869","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hea Clinic Pa","Hea Clinic Pa","20200506","grant","$1,212,962","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healing Care Hospice","Healing Care Hospice","20200506","grant","$889,299","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health And Life Organization Inc.","Health And Life Organization Inc.","20200506","grant","$1,050,595","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health Care Authority For Baptist Health An Affiliate Of Uab","Health Care Authority For Baptist Health An Affiliate Of Uab","20200506","grant","$12,597,667","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Alabama","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health Care Solutions At Home Inc","Health Care Solutions At Home Inc","20200506","grant","$1,518,350","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health Network Laboratories Limited","Health Network Laboratories Limited","20200506","grant","$851,219","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health Quest Medical Practice","Health Quest Medical Practice","20200506","grant","$1,573,351","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Connecticut","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health Resources Solutions Inc","Health Resources Solutions Inc","20200506","grant","$670,085","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Health Services Of Bluewater Bay Llc","Health Services Of Bluewater Bay Llc","20200506","grant","$551,752","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthaccess","Healthaccess","20200506","grant","$551,161","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthalliance Hospital Broadway Campus","Healthalliance Hospital Broadway Campus","20200506","grant","$2,331,353","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthalliance Marys Avenue Campus","Healthalliance Marys Avenue Campus","20200506","grant","$950,750","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthcare Partners Medical Group Coats Ltd","Healthcare Partners Medical Group Coats Ltd","20200506","grant","$979,146","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Nevada","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthcenter Northwest Llc","Healthcenter Northwest Llc","20200506","grant","$1,149,383","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Montana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthdrive Podiatry Group Pc","Healthdrive Podiatry Group Pc","20200506","grant","$806,850","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Minnesota","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthflex Home Health Services","Healthflex Home Health Services","20200506","grant","$799,080","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthkeeperz","Healthkeeperz","20200506","grant","$601,481","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthline Medical Equipment Inc","Healthline Medical Equipment Inc","20200506","grant","$562,319","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"HealthPark Medical Center","HealthPark Medical Center","20200508","grant","$17,366,063","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Florida","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthsource Saginaw Inc","Healthsource Saginaw Inc","20200506","grant","$588,496","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Healthstar Physicians","Healthstar Physicians","20200506","grant","$773,566","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Heart And Vascular Care","Heart And Vascular Care","20200506","grant","$503,697","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
